Lp  F6        x1       x2        Ocena     Średni    Najgorszy
0 0.011522 -0.920119 2.955673 0.988478 0.474806 0.004497
1 0.009925 1.298543 -2.873274 0.990075 0.514332 0.002457
2 0.009925 1.298543 -2.873274 0.990075 0.484934 0.022569
3 0.009925 1.298543 -2.873274 0.990075 0.516363 0.039464
4 0.009925 1.298543 -2.873274 0.990075 0.504759 0.042742
5 0.009925 1.298543 -2.873274 0.990075 0.549678 0.025681
6 0.009925 1.298543 -2.873274 0.990075 0.523138 0.023601
7 0.009925 1.298543 -2.873274 0.990075 0.493699 0.103850
8 0.009925 1.298543 -2.873274 0.990075 0.520096 0.074878
9 0.009925 1.298543 -2.873274 0.990075 0.529493 0.097737
10 0.009925 1.298543 -2.873274 0.990075 0.527883 0.101616
11 0.009743 1.927214 -2.470436 0.990257 0.539740 0.002632
12 0.009743 1.927214 -2.470436 0.990257 0.545224 0.220969
13 0.009743 1.927214 -2.470436 0.990257 0.518054 0.152604
14 0.009743 1.927214 -2.470436 0.990257 0.493305 0.032144
15 0.009743 1.927214 -2.470436 0.990257 0.510854 0.022764
16 0.009743 1.927214 -2.470436 0.990257 0.522968 0.021578
17 0.009743 1.927214 -2.470436 0.990257 0.526661 0.080624
18 0.009743 1.927214 -2.470436 0.990257 0.538011 0.060485
19 0.009743 1.927214 -2.470436 0.990257 0.504851 0.012150
20 0.009743 1.927214 -2.470436 0.990257 0.526981 0.007107
21 0.009743 1.927214 -2.470436 0.990257 0.510280 0.069908
22 0.009743 1.927214 -2.470436 0.990257 0.498514 0.034358
23 0.009743 1.927214 -2.470436 0.990257 0.521253 0.091753
24 0.009743 1.927214 -2.470436 0.990257 0.501442 0.052379
25 0.009743 1.927214 -2.470436 0.990257 0.493149 0.021560
26 0.009743 1.927214 -2.470436 0.990257 0.519712 0.016841
27 0.009743 1.927214 -2.470436 0.990257 0.518830 0.047867
28 0.009743 1.927214 -2.470436 0.990257 0.517694 0.069213
29 0.009743 1.927214 -2.470436 0.990257 0.500586 0.039860
30 0.009743 1.927214 -2.470436 0.990257 0.514505 0.019616
31 0.009743 1.927214 -2.470436 0.990257 0.539058 0.277615
32 0.009743 1.927214 -2.470436 0.990257 0.483116 0.009332
33 0.009743 1.927214 -2.470436 0.990257 0.492006 0.023092
34 0.009743 1.927214 -2.470436 0.990257 0.526372 0.021536
35 0.009743 1.927214 -2.470436 0.990257 0.536941 0.004429
36 0.009743 1.927214 -2.470436 0.990257 0.536934 0.035083
37 0.009743 1.927214 -2.470436 0.990257 0.526368 0.024098
38 0.009718 -3.138781 0.086976 0.990282 0.510069 0.021483
39 0.009718 -3.138781 0.086976 0.990282 0.537281 0.063035
40 0.009718 -3.138781 0.086976 0.990282 0.502252 0.004962
41 0.009718 -3.138781 0.086976 0.990282 0.524613 0.104088
42 0.009718 -3.138781 0.086976 0.990282 0.506960 0.061285
43 0.009718 -3.138781 0.086976 0.990282 0.532594 0.024094
44 0.009718 -3.138781 0.086976 0.990282 0.498124 0.025839
45 0.009718 -3.138781 0.086976 0.990282 0.529703 0.102029
46 0.009718 -3.138781 0.086976 0.990282 0.535445 0.084171
47 0.009718 -3.138781 0.086976 0.990282 0.513245 0.046385
48 0.009718 -3.138781 0.086976 0.990282 0.535863 0.022003
49 0.009716 3.135729 -0.126650 0.990284 0.514962 0.023330
50 0.009716 3.135729 -0.126650 0.990284 0.503535 0.134091
51 0.009716 3.135729 -0.126650 0.990284 0.511732 0.005111
52 0.009716 3.135729 -0.126650 0.990284 0.490044 0.042784
53 0.009716 3.135729 -0.126650 0.990284 0.501889 0.023154
54 0.009716 3.135729 -0.126650 0.990284 0.521000 0.065085
55 0.009716 3.135729 -0.126650 0.990284 0.487971 0.112400
56 0.009716 3.135729 -0.126650 0.990284 0.492272 0.104290
57 0.009716 3.135729 -0.126650 0.990284 0.511186 0.030525
58 0.009716 3.135729 -0.126650 0.990284 0.529882 0.049983
59 0.009716 3.135729 -0.126650 0.990284 0.513675 0.015522
60 0.009716 3.135729 -0.126650 0.990284 0.538939 0.006537
61 0.009716 3.135729 -0.126650 0.990284 0.511575 0.003531
62 0.009716 3.135729 -0.126650 0.990284 0.507090 0.056371
63 0.009716 3.135729 -0.126650 0.990284 0.514695 0.105495
64 0.009716 3.135729 -0.126650 0.990284 0.536414 0.057596
65 0.009716 3.135729 -0.126650 0.990284 0.505443 0.063013
66 0.009716 3.135729 -0.126650 0.990284 0.534730 0.057093
67 0.009716 3.135729 -0.126650 0.990284 0.545091 0.033666
68 0.009716 3.135729 -0.126650 0.990284 0.512034 0.027500
69 0.009716 3.135729 -0.126650 0.990284 0.488856 0.005007
70 0.009716 3.135729 -0.126650 0.990284 0.549005 0.003036
71 0.009716 3.135729 -0.126650 0.990284 0.509721 0.022269
72 0.009716 3.135729 -0.126650 0.990284 0.490870 0.003833
73 0.009716 3.135729 -0.126650 0.990284 0.501719 0.069989
74 0.009716 -1.121538 2.931258 0.990284 0.498232 0.006101
75 0.009716 -1.121538 2.931258 0.990284 0.506118 0.067851
76 0.009716 -1.121538 2.931258 0.990284 0.507249 0.046365
77 0.009716 -1.121538 2.931258 0.990284 0.514651 0.026739
78 0.009716 -1.121538 2.931258 0.990284 0.504399 0.004827
79 0.009716 -1.121538 2.931258 0.990284 0.526668 0.095806
80 0.009716 -1.121538 2.931258 0.990284 0.521789 0.003578
81 0.009716 -1.121538 2.931258 0.990284 0.490042 0.005767
82 0.009716 -1.121538 2.931258 0.990284 0.508779 0.020644
83 0.009716 -1.121538 2.931258 0.990284 0.507884 0.024467
84 0.009716 -1.121538 2.931258 0.990284 0.515695 0.002878
85 0.009716 -1.121538 2.931258 0.990284 0.501486 0.002528
86 0.009716 -1.121538 2.931258 0.990284 0.490751 0.005217
87 0.009716 -1.121538 2.931258 0.990284 0.508989 0.056367
88 0.009716 -1.121538 2.931258 0.990284 0.490714 0.024815
89 0.009716 -1.121538 2.931258 0.990284 0.507152 0.026685
90 0.009716 -1.121538 2.931258 0.990284 0.504957 0.022368
91 0.009716 -1.121538 2.931258 0.990284 0.510728 0.032950
92 0.009716 -1.121538 2.931258 0.990284 0.520215 0.040526
93 0.009716 -1.121538 2.931258 0.990284 0.523059 0.194227
94 0.009716 -1.121538 2.931258 0.990284 0.508745 0.059710
95 0.009716 -1.121538 2.931258 0.990284 0.518994 0.028065
96 0.009716 -1.121538 2.931258 0.990284 0.501427 0.057024
97 0.009716 -1.121538 2.931258 0.990284 0.515815 0.002569
98 0.009716 -1.121538 2.931258 0.990284 0.551623 0.216078
99 0.009716 -1.121538 2.931258 0.990284 0.529220 0.100287
100 0.009716 -1.121538 2.931258 0.990284 0.490461 0.089952
101 0.009716 -1.121538 2.931258 0.990284 0.514100 0.047362
102 0.009716 -1.121538 2.931258 0.990284 0.527517 0.154672
103 0.009716 -1.121538 2.931258 0.990284 0.534927 0.006678
104 0.009716 -1.121538 2.931258 0.990284 0.486491 0.017171
105 0.009716 -1.121538 2.931258 0.990284 0.499729 0.109531
106 0.009716 -1.121538 2.931258 0.990284 0.497009 0.045270
107 0.009716 -1.121538 2.931258 0.990284 0.531873 0.044654
108 0.009716 -1.121538 2.931258 0.990284 0.529924 0.154442
109 0.009716 -1.121538 2.931258 0.990284 0.518008 0.023777
110 0.009716 -1.121538 2.931258 0.990284 0.502904 0.022170
111 0.009716 -1.121538 2.931258 0.990284 0.518239 0.166756
112 0.009716 -1.121538 2.931258 0.990284 0.542186 0.002598
113 0.009716 -1.121538 2.931258 0.990284 0.520177 0.002457
114 0.009716 -1.121538 2.931258 0.990284 0.503326 0.038002
115 0.009716 -1.121538 2.931258 0.990284 0.512347 0.056745
116 0.009716 -1.121538 2.931258 0.990284 0.501292 0.022255
117 0.009716 -1.121538 2.931258 0.990284 0.511286 0.034955
118 0.009716 -1.121538 2.931258 0.990284 0.529067 0.010330
119 0.009716 -1.121538 2.931258 0.990284 0.523536 0.106420
120 0.009716 -1.121538 2.931258 0.990284 0.526025 0.107527
121 0.009716 -1.121538 2.931258 0.990284 0.526274 0.057451
122 0.009716 -1.121538 2.931258 0.990284 0.513554 0.038337
123 0.009716 -1.121538 2.931258 0.990284 0.514299 0.021834
124 0.009716 -1.121538 2.931258 0.990284 0.523754 0.078940
125 0.009716 -1.121538 2.931258 0.990284 0.527460 0.112000
126 0.009716 -1.121538 2.931258 0.990284 0.507749 0.009177
127 0.009716 -1.121538 2.931258 0.990284 0.547046 0.046780
128 0.009716 -1.121538 2.931258 0.990284 0.508904 0.056558
129 0.009716 -1.121538 2.931258 0.990284 0.529398 0.157695
130 0.009716 -1.121538 2.931258 0.990284 0.528601 0.142693
131 0.009716 -1.121538 2.931258 0.990284 0.538497 0.056408
