Lp	F6	x1	x2	Ocena	Œredni	Najgorszy		Lp	F6	x1	x2	Ocena	Œredni	Najgorszy		Lp	F6	x1	x2	Ocena	Œredni	Najgorszy		Lp	F6	x1	x2	Ocena	Œredni	Najgorszy		Lp	F6	x1	x2	Ocena	Œredni	Najgorszy		Lp	F6	x1	x2	Ocena	Œredni	Najgorszy		Lp	F6	x1	x2	Ocena	Œredni	Najgorszy		Lp	F6	x1	x2	Ocena	Œredni	Najgorszy		Lp	F6	x1	x2	Ocena	Œredni	Najgorszy								
0	0.031191	2.284276	2.363622	0.968809	0.509844	0.085831		0	0.011413	0.834668	3.068589	0.988587	0.511936	0.022547		0	0.018081	-3.019760	-1.149004	0.981919	0.519386	0.007247		0	0.038252	-1.322957	-6.102083	0.961748	0.510532	0.007113		0	0.012131	-3.050278	-0.486763	0.987869	0.505830	0.007720		0	0.020134	2.967880	-0.636301	0.979866	0.548852	0.022389		0	0.009716	0.874342	-3.013657	0.990284	0.518220	0.021558		0	0.083246	-4.975967	-7.902647	0.916754	0.507110	0.300270		0	0.009735	-0.541695	3.086900	0.990265	0.503277	0.073581								
1	0.009910	2.284276	2.131685	0.990090	0.537617	0.139798		1	0.009790	0.843824	3.031968	0.990210	0.538681	0.014007		1	0.011611	-2.964828	-0.886549	0.988389	0.510806	0.021849		1	0.038252	-1.322957	-6.102083	0.961748	0.489281	0.033993		1	0.011198	-3.050278	-0.889601	0.988802	0.510467	0.037471		1	0.010659	2.967880	-1.112383	0.989341	0.506705	0.043649		1	0.009716	0.874342	-3.013657	0.990284	0.508314	0.012466		1	0.010731	-2.632181	-1.649500	0.989269	0.505376	0.113220		1	0.009721	-0.553902	3.086900	0.990279	0.516147	0.021485								
2	0.009910	2.284276	2.131685	0.990090	0.514632	0.282786		2	0.009722	1.039139	2.958724	0.990278	0.533193	0.017995		2	0.011611	-2.964828	-0.886549	0.988389	0.471373	0.019559		2	0.037261	-2.882429	-5.583276	0.962739	0.498910	0.022954		2	0.011198	-3.050278	-0.889601	0.988802	0.525292	0.010674		2	0.010659	2.967880	-1.112383	0.989341	0.525373	0.004154		2	0.009716	0.874342	-3.013657	0.990284	0.535250	0.281434		2	0.009982	-2.595560	-1.734951	0.990018	0.502319	0.070426		2	0.009721	-0.553902	3.086900	0.990279	0.540163	0.030020		Lp	F6	x1	x2	Ocena	Œredni	Najgorszy
3	0.009910	2.284276	2.131685	0.990090	0.492223	0.029876		3	0.009722	1.039139	2.958724	0.990278	0.512019	0.023024		3	0.011589	-3.093004	-0.105287	0.988411	0.505601	0.002975		3	0.015253	-1.133745	-2.845808	0.984747	0.503760	0.042383		3	0.010785	-3.044175	-0.889601	0.989215	0.518762	0.030646		3	0.010659	2.967880	-1.112383	0.989341	0.519020	0.048604		3	0.009716	0.874342	-3.013657	0.990284	0.532809	0.035096		3	0.009982	-2.595560	-1.734951	0.990018	0.501142	0.056569		3	0.009721	-0.553902	3.086900	0.990279	0.538306	0.005887		0	0.011367	-0.538643	3.050278	0.988633	0.502430	0.064068
4	0.009910	2.284276	2.131685	0.990090	0.495811	0.139747		4	0.009722	1.039139	2.958724	0.990278	0.520834	0.145173		4	0.011589	-3.093004	-0.105287	0.988411	0.518497	0.056653		4	0.015253	-1.133745	-2.845808	0.984747	0.511159	0.071832		4	0.010785	-3.044175	-0.889601	0.989215	0.501236	0.030347		4	0.010659	2.967880	-1.112383	0.989341	0.496574	0.022076		4	0.009716	0.874342	-3.013657	0.990284	0.528739	0.059209		4	0.009982	-2.595560	-1.734951	0.990018	0.507706	0.007853		4	0.009721	-0.553902	3.086900	0.990279	0.499027	0.022472		1	0.011198	-0.550851	3.050278	0.988802	0.516635	0.023078
5	0.009910	2.284276	2.131685	0.990090	0.518544	0.066049		5	0.009722	1.039139	2.958724	0.990278	0.493881	0.029052		5	0.009738	-3.083848	-0.556954	0.990262	0.529266	0.003376		5	0.015253	-1.133745	-2.845808	0.984747	0.500854	0.034964		5	0.010785	-3.044175	-0.889601	0.989215	0.526675	0.026872		5	0.010659	2.967880	-1.112383	0.989341	0.502380	0.026104		5	0.009716	0.874342	-3.013657	0.990284	0.500890	0.002591		5	0.009982	-2.595560	-1.734951	0.990018	0.527650	0.101634		5	0.009721	-0.553902	3.086900	0.990279	0.537120	0.048700		2	0.011198	-0.550851	3.050278	0.988802	0.540361	0.026001
6	0.009910	2.284276	2.131685	0.990090	0.525061	0.012815		6	0.009722	1.039139	2.958724	0.990278	0.505274	0.003109		6	0.009738	-3.083848	-0.556954	0.990262	0.504985	0.014133		6	0.009764	-0.691234	-3.068589	0.990236	0.545821	0.064880		6	0.010785	-3.044175	-0.889601	0.989215	0.509104	0.016861		6	0.010659	2.967880	-1.112383	0.989341	0.516354	0.031926		6	0.009716	0.874342	-3.013657	0.990284	0.488578	0.004812		6	0.009982	-2.595560	-1.734951	0.990018	0.519203	0.090733		6	0.009721	-0.553902	3.086900	0.990279	0.499000	0.068892		3	0.011198	-0.550851	3.050278	0.988802	0.539567	0.002469
7	0.009910	2.284276	2.131685	0.990090	0.519824	0.022380		7	0.009722	1.039139	2.958724	0.990278	0.516552	0.006727		7	0.009738	-3.083848	-0.556954	0.990262	0.530081	0.013243		7	0.009764	-0.691234	-3.068589	0.990236	0.513142	0.032648		7	0.010785	-3.044175	-0.889601	0.989215	0.526425	0.007930		7	0.010659	2.967880	-1.112383	0.989341	0.529875	0.002465		7	0.009716	0.874342	-3.013657	0.990284	0.527276	0.039155		7	0.009982	-2.595560	-1.734951	0.990018	0.535250	0.069627		7	0.009721	-0.553902	3.086900	0.990279	0.530473	0.002749		4	0.010462	-2.809186	1.460288	0.989538	0.499114	0.024163
8	0.009910	2.284276	2.131685	0.990090	0.517707	0.004367		8	0.009722	1.039139	2.958724	0.990278	0.499618	0.023114		8	0.009738	-3.083848	-0.556954	0.990262	0.519560	0.025474		8	0.009764	-0.691234	-3.068589	0.990236	0.491065	0.056370		8	0.010785	-3.044175	-0.889601	0.989215	0.507542	0.031929		8	0.010659	2.967880	-1.112383	0.989341	0.503824	0.062272		8	0.009716	0.874342	-3.013657	0.990284	0.531469	0.240865		8	0.009982	-2.595560	-1.734951	0.990018	0.512898	0.067116		8	0.009721	-0.553902	3.086900	0.990279	0.520482	0.055741		5	0.010020	-2.809186	1.359579	0.989980	0.537021	0.068789
9	0.009910	2.284276	2.131685	0.990090	0.545485	0.213013		9	0.009722	1.039139	2.958724	0.990278	0.482168	0.008224		9	0.009738	-3.083848	-0.556954	0.990262	0.504796	0.032362		9	0.009764	-0.691234	-3.068589	0.990236	0.514258	0.056409		9	0.010785	-3.044175	-0.889601	0.989215	0.515474	0.067685		9	0.010659	2.967880	-1.112383	0.989341	0.519400	0.003335		9	0.009716	0.874342	-3.013657	0.990284	0.516182	0.037663		9	0.009982	-2.595560	-1.734951	0.990018	0.518704	0.065103		9	0.009721	-0.553902	3.086900	0.990279	0.504920	0.039143		6	0.010020	-2.809186	1.359579	0.989980	0.498945	0.094255
